band,start,end
http://dbpedia.org/resource/Carbon/Silicon,"2002","2002"
http://dbpedia.org/resource/Ruki_Vverh!,"1996","2006"
http://dbpedia.org/resource/The_Flaws,"2004","2004"
http://dbpedia.org/resource/The_Choir_(garage_rock),"1964","1966"
http://dbpedia.org/resource/The_Easybeats,"1964","1964"
http://dbpedia.org/resource/Delirious%3F,"1992","2009"
http://dbpedia.org/resource/Psychic_TV,"1982","1999"
http://dbpedia.org/resource/K's_Choice,"1994","2003"
http://dbpedia.org/resource/Power_of_Dreams,"1988","1995"
http://dbpedia.org/resource/The_Crucified,"1984","1993"
http://dbpedia.org/resource/The_Panics,"2002","2002"
http://dbpedia.org/resource/Delaney_&_Bonnie,"1967","1972"
http://dbpedia.org/resource/Héctor_&_Tito,"1996","2004"
http://dbpedia.org/resource/Love_Battery,"1989","2002"
http://dbpedia.org/resource/Halfcocked,"1997","2002"
http://dbpedia.org/resource/Moliendo_Vidrio,"1975","1975"
http://dbpedia.org/resource/The_Armoury_Show,"1983","1983"
http://dbpedia.org/resource/The_Revolution_(band),"1979","1979"
http://dbpedia.org/resource/The_13th_Floor_Elevators,"1965","1969"
http://dbpedia.org/resource/Rufio,"2000","2000"
http://dbpedia.org/resource/CJ_&_The_Satellites,"2006","2006"
http://dbpedia.org/resource/Extra_Prolific,"1993","1998"
http://dbpedia.org/resource/Master's_Hammer,"1987","1995"
http://dbpedia.org/resource/Go_Back_to_the_Zoo,"2008","2008"
http://dbpedia.org/resource/Goblini,"1992","1992"
http://dbpedia.org/resource/Out_of_Eden,"1994","2006"
http://dbpedia.org/resource/Gamma_(band),"1978","1978"
http://dbpedia.org/resource/The_Disciplines,"2005","2005"
http://dbpedia.org/resource/The_Buzzhorn,"1997","2003"
http://dbpedia.org/resource/Love_Spirals_Downwards,"1991","1991"
http://dbpedia.org/resource/Rider_Chips,"2000","2000"
http://dbpedia.org/resource/The_Simon_Sisters,"1964","1964"
http://dbpedia.org/resource/Classic_Case,"2002","2002"
http://dbpedia.org/resource/Bark_Psychosis,"1986","1994"
http://dbpedia.org/resource/Nena_(band),"1981","1987"
http://dbpedia.org/resource/Orgy_(band),"1994","2005"
http://dbpedia.org/resource/Milli_Vanilli,"1988","1990"
http://dbpedia.org/resource/Stereolab,"1990","2009"
http://dbpedia.org/resource/Turbonegro,"1989","1998"
http://dbpedia.org/resource/Bad_Astronaut,"2000","2006"
http://dbpedia.org/resource/Platinum_Blonde_(band),"1979","1990"
http://dbpedia.org/resource/Springbok_Nude_Girls,"1994","2001"
http://dbpedia.org/resource/The_West_Coast_Pop_Art_Experimental_Band,"1965","1965"
http://dbpedia.org/resource/The_Protomen,"2003","2003"
http://dbpedia.org/resource/Nevertheless_(band),"2003","2009"
http://dbpedia.org/resource/Mantic_Ritual,"2004","2011"
http://dbpedia.org/resource/Hundredth_(band),"2008","2008"
http://dbpedia.org/resource/Vegas_(duo),"1992","1992"
http://dbpedia.org/resource/Lo-Pro,"2002","2002"
http://dbpedia.org/resource/Shades_(band),"1996","1997"
http://dbpedia.org/resource/Sigue_Sigue_Sputnik,"1982","1982"
http://dbpedia.org/resource/Monsoon_(band),"1981","1983"
http://dbpedia.org/resource/Super_Junky_Monkey,"1994","1999"
http://dbpedia.org/resource/Hootie_&_the_Blowfish,"1986","2008"
http://dbpedia.org/resource/Alien_Crime_Syndicate,"1997","2005"
http://dbpedia.org/resource/Royal_Tailor,"2004","2015"
http://dbpedia.org/resource/Section_25,"1977","1988"
http://dbpedia.org/resource/Aurora_Sutra,"1993","1998"
http://dbpedia.org/resource/Space_(English_band),"1993","2005"
http://dbpedia.org/resource/Sarke,"2008","2008"
http://dbpedia.org/resource/Reverend_and_The_Makers,"2005","2005"
http://dbpedia.org/resource/CC_&_Lee,"2003","2003"
http://dbpedia.org/resource/Flying_Saucer_Attack,"1992","2000"
http://dbpedia.org/resource/Small_Faces,"1965","1969"
http://dbpedia.org/resource/Chapel_Club,"2007","2013"
http://dbpedia.org/resource/The_Snakes_(band),"1997","1999"
http://dbpedia.org/resource/The_Crimea_(band),"2002","2013"
http://dbpedia.org/resource/The_Boomtang_Boys,"1991","1991"
http://dbpedia.org/resource/Lowercase_(band),"1996","2000"
http://dbpedia.org/resource/Andain,"2001","2006"
http://dbpedia.org/resource/Training_for_Utopia,"1996","1996"
http://dbpedia.org/resource/Sporty_Thievz,"1997","1997"
http://dbpedia.org/resource/Wreck_of_the_Hesperus,"2004","2004"
http://dbpedia.org/resource/My_American_Heart,"2001","2001"
http://dbpedia.org/resource/Bizarre_Inc,"1989","1996"
http://dbpedia.org/resource/Ghosts_(band),"2006","2012"
http://dbpedia.org/resource/Electrelane,"1998","2007"
http://dbpedia.org/resource/Dogstar_(band),"1991","2002"
http://dbpedia.org/resource/Desmond_Dekker,"1963","2006"
http://dbpedia.org/resource/Pale_Saints,"1987","1987"
http://dbpedia.org/resource/Pc_Quest_(band),"1990","1992"
http://dbpedia.org/resource/Crash_of_Rhinos,"2009","2014"
http://dbpedia.org/resource/Intwine,"2001","2010"
http://dbpedia.org/resource/Gruvis_Malt,"1995","2005"
http://dbpedia.org/resource/Mudcrutch,"1970","1975"
http://dbpedia.org/resource/Angtoria,"2002","2011"
http://dbpedia.org/resource/The_Dogs,"1990","1996"
http://dbpedia.org/resource/CDB_(band),"1991","1999"
http://dbpedia.org/resource/Stereos,"2008","2012"
http://dbpedia.org/resource/Rough_Trade_(band),"1968","1968"
http://dbpedia.org/resource/First_House_(band),"1983","1990"
http://dbpedia.org/resource/Terminal_Power_Company,"1989","1989"
http://dbpedia.org/resource/The_Electric_Prunes,"1965","1970"
http://dbpedia.org/resource/World_Leader_Pretend,"2002","2008"
http://dbpedia.org/resource/Prairie_Oyster,"1974","1978"
http://dbpedia.org/resource/Gordi,"1977","1984"
http://dbpedia.org/resource/Cutting_Pink_With_Knives,"2004","2004"
http://dbpedia.org/resource/The_Proletariat,"1980","1980"
http://dbpedia.org/resource/Arms_and_Sleepers,"2006","2012"
http://dbpedia.org/resource/Fobia,"1987","1997"
http://dbpedia.org/resource/T-Ride,"1992","1992"
http://dbpedia.org/resource/Pretty_Boy_Floyd_(American_band),"1987","1991"
http://dbpedia.org/resource/The_Sound_of_Animals_Fighting,"2004","2009"
http://dbpedia.org/resource/Grotesque_(band),"1988","1990"
http://dbpedia.org/resource/Demilich_(band),"1990","1993"
http://dbpedia.org/resource/Zyklon,"1998","1998"
http://dbpedia.org/resource/Mercy_Killers,"2005","2005"
http://dbpedia.org/resource/Aice5,"2005","2007"
http://dbpedia.org/resource/Damu_Ridas,"1993","1999"
http://dbpedia.org/resource/Exumer,"1985","1991"
http://dbpedia.org/resource/Hammercult,"2010","2010"
http://dbpedia.org/resource/Fairground_Attraction,"1987","1990"
http://dbpedia.org/resource/Riot_V,"1975","1984"
http://dbpedia.org/resource/Austins_Bridge,"2007","2013"
http://dbpedia.org/resource/King_Lizard,"2002","2015"
http://dbpedia.org/resource/Crabb_Revival,"2008","2008"
http://dbpedia.org/resource/Benjy_Davis_Project,"2001","2001"
http://dbpedia.org/resource/Drummer_(band),"2009","2009"
http://dbpedia.org/resource/Fudge_Tunnel,"1988","1995"
